,variable,coefficients
0,lot_shape,1584.8563458206675
1,land_contour,-1323.4977927497703
2,land_slope,503.7261091473247
3,overall_qual,8102.140751333451
4,overall_cond,5099.391852319763
5,year_built,292.0288574185279
6,year_remod/add,74.33978220583413
7,exter_qual,8469.385390127902
8,exter_cond,-1531.3163507219792
9,bsmt_qual,3162.5200282606966
10,bsmt_cond,-1971.8552123837558
11,bsmt_exposure,4808.133397750564
12,bsmtfin_type_1,449.133323565306
13,heating_qc,610.5601896381972
14,central_air,-5891.526015728183
15,kitchen_qual,5997.721684351245
16,functional,-4950.161842828613
17,fireplace_qu,-218.9319823288697
18,garage_finish,789.6459181952137
19,garage_cond,-3497.3232294016925
20,paved_drive,478.1527086390369
21,mo_sold,-199.8384895538652
22,yr_sold,75.72234573100559
23,ms_subclass_30,8691.316969771538
24,ms_subclass_40,5335.748367453344
25,ms_subclass_45,6289.669128731512
26,ms_subclass_50,4693.412843011645
27,ms_subclass_60,-4433.3591300913895
28,ms_subclass_70,4775.110007228207
29,ms_subclass_75,-3566.8037454728155
30,ms_subclass_80,-13570.67971841873
31,ms_subclass_85,-2471.6101724737896
32,ms_subclass_90,-8314.138300189217
33,ms_subclass_120,-32427.585138791444
34,ms_subclass_150,1.6516423784196377e-09
35,ms_subclass_160,-34249.36610053121
36,ms_subclass_180,-27856.5901917037
37,ms_subclass_190,-20571.70659032293
38,ms_zoning_C (all),-15427.312103095315
39,ms_zoning_FV,6721.669508254344
40,ms_zoning_I (all),2.0372681319713593e-09
41,ms_zoning_RH,11884.017866408714
42,ms_zoning_RL,1827.610141667253
43,ms_zoning_RM,-5005.985413146507
44,street_Pave,14456.736046282915
45,utilities_NoSeWa,-6.548361852765083e-11
46,utilities_NoSewr,-1.7535057850182056e-08
47,lot_config_CulDSac,12099.38203616351
48,lot_config_FR2,1756.7117490880714
49,lot_config_FR3,-20759.804075453896
50,lot_config_Inside,890.5222671612573
51,neighborhood_Blueste,13130.242140547693
52,neighborhood_BrDale,16804.744443372005
53,neighborhood_BrkSide,-4883.777296333952
54,neighborhood_ClearCr,-8364.704746004312
55,neighborhood_CollgCr,-12571.621340373573
56,neighborhood_Crawfor,7207.130738841148
57,neighborhood_Edwards,-14176.835660347411
58,neighborhood_Gilbert,-9135.25116103451
59,neighborhood_Greens,10925.150257724481
60,neighborhood_GrnHill,114204.19942700402
61,neighborhood_IDOTRR,-11329.572376630887
62,neighborhood_Landmrk,4601.572274283208
63,neighborhood_MeadowV,1985.8320287750178
64,neighborhood_Mitchel,-7951.230277123885
65,neighborhood_NAmes,-13451.464228298513
66,neighborhood_NPkVill,8372.294146476414
67,neighborhood_NWAmes,-17436.051236347543
68,neighborhood_NoRidge,18841.446378028482
69,neighborhood_NridgHt,31312.671571471805
70,neighborhood_OldTown,-10206.077203702982
71,neighborhood_SWISU,-15379.855043176021
72,neighborhood_Sawyer,-7826.714731995795
73,neighborhood_SawyerW,-13756.946637821942
74,neighborhood_Somerst,-634.8985311315389
75,neighborhood_StoneBr,51002.74163295217
76,neighborhood_Timber,-5440.292030859198
77,neighborhood_Veenker,-2046.1891333162685
78,condition_1_Feedr,6363.690068335686
79,condition_1_Norm,11555.49123732071
80,condition_1_PosA,10063.339394159046
81,condition_1_PosN,25892.852379883738
82,condition_1_RRAe,-4551.168263094806
83,condition_1_RRAn,3971.9809862678253
