,variable,coefficients
0,lot_shape,1262.402673802551
1,land_contour,-513.8180440021983
2,land_slope,-6160.320755642102
3,overall_qual,10205.22903306909
4,overall_cond,4997.208815117259
5,year_built,190.25760800323133
6,year_remod/add,-30.51407964786631
7,exter_qual,7589.176789226525
8,bsmt_qual,5335.883366768989
9,bsmt_cond,-3219.469439715069
10,bsmt_exposure,5396.3622112552
11,bsmtfin_type_1,1671.635497650555
12,heating_qc,966.505781841367
13,kitchen_qual,9694.080367971403
14,functional,-2901.6371824175544
15,fireplace_qu,1309.639132421422
16,garage_finish,512.8718589485452
17,garage_cond,-2577.9688711701165
18,paved_drive,1163.9789792030492
19,mo_sold,52.15061084126046
20,yr_sold,-434.11753789795694
21,ms_subclass_50,6584.381987391787
22,ms_subclass_120,-10264.417088234877
23,ms_subclass_160,-1257.1455023367198
24,ms_zoning_RM,-3333.5620804343516
25,lot_config_CulDSac,2430.6711160240693
26,neighborhood_BrkSide,718.1474878358167
27,neighborhood_CollgCr,-5718.112407277174
28,neighborhood_Crawfor,11917.183463877554
29,neighborhood_Edwards,-13919.189464017794
30,neighborhood_Gilbert,-7333.953683583528
31,neighborhood_NAmes,-4921.03606921297
32,neighborhood_NWAmes,-13174.456532882428
33,neighborhood_NoRidge,32800.402829570856
34,neighborhood_NridgHt,41741.62571382868
35,neighborhood_OldTown,-6213.68384400092
36,neighborhood_SawyerW,-9063.793732009039
37,neighborhood_Somerst,8579.417935364872
38,neighborhood_StoneBr,53561.415213832464
39,condition_1_Norm,7027.801394709727
40,condition_1_PosN,16923.830934603295
41,bldg_type_Twnhs,-33228.117620035315
42,bldg_type_TwnhsE,-22979.505543940973
43,house_style_1Story,15719.020409362813
44,house_style_SLvl,-1092.6628875008364
45,roof_style_Hip,6817.380643907651
46,roof_matl_CompShg,3570.6192126743913
47,exterior_1st_BrkFace,25485.48730508168
48,exterior_1st_HdBoard,-3415.0584762881967
49,exterior_1st_Stucco,-14618.504789969502
50,exterior_2nd_CmentBd,12942.950293651891
51,exterior_2nd_MetalSd,2412.5800992568775
52,exterior_2nd_Stucco,-9899.487795178855
53,exterior_2nd_VinylSd,2782.7385427661475
54,exterior_2nd_Wd Shng,-2813.145621517265
55,bsmtfin_type_2_Rec,-5608.469446590856
56,electrical_SBrkr,-1644.1311000856003
57,sale_type_New,10645.433808753407
58,lot_frontage,-2616.926071808244
59,lot_area,2669.4224810855194
60,mas_vnr_area,3277.675322720138
61,bsmtfin_sf_1,1669.4008662418619
62,bsmtfin_sf_2,336.40306204309843
63,bsmt_unf_sf,-2042.816668274861
64,1st_flr_sf,443.56317613495594
65,low_qual_fin_sf,127.32745549022343
66,gr_liv_area,19604.53982535764
67,bsmt_full_bath,2865.046259708033
68,bsmt_half_bath,-330.54730669625224
69,full_bath,4526.676821856524
70,half_bath,2985.363947218487
71,bedroom_abvgr,-1394.76658538917
72,kitchen_abvgr,-2340.2081752503364
73,totrms_abvgrd,2641.3307070306714
74,fireplaces,1628.0606506539516
75,garage_cars,5060.0010124892215
76,garage_area,1015.9929029503842
77,wood_deck_sf,2584.4270851396286
78,open_porch_sf,48.06999014432495
79,enclosed_porch,731.6052060471359
80,3ssn_porch,346.7014210513753
81,screen_porch,4595.940229135991
82,misc_val,-4726.002097908596
202,intercept,566558.6664563423
