,variable,coefficients
0,lot_shape,2841.2830028319204
1,land_contour,112.63464663134708
2,land_slope,-4943.617680936506
3,overall_qual,9148.602415986792
4,overall_cond,4283.730270870149
5,year_built,144.83097931256083
6,year_remod/add,76.67533724924543
7,exter_qual,8827.752742938961
8,exter_cond,-1259.2660664670225
9,bsmt_qual,4356.944277190214
10,bsmt_cond,-1747.5351683000795
11,bsmt_exposure,5898.931712296458
12,bsmtfin_type_1,1634.7769649187787
13,heating_qc,978.9980015298277
14,central_air,-4278.426223291319
15,kitchen_qual,6867.959191298342
16,functional,-4248.51553600849
17,fireplace_qu,1161.9112923905664
18,garage_finish,849.1815044503892
19,garage_cond,-4119.870456467797
20,paved_drive,1127.1643972747813
21,mo_sold,-132.46037648815394
22,yr_sold,-100.81158656589403
23,ms_subclass_30,5863.479525911813
24,ms_subclass_40,-746.0025888958949
25,ms_subclass_45,4559.657644917904
26,ms_subclass_50,7388.190927627262
27,ms_subclass_60,-2285.3340967550853
28,ms_subclass_70,8401.720847877574
29,ms_subclass_75,-1549.4754362458775
30,ms_subclass_80,-8391.527136946734
31,ms_subclass_85,-133.68116742506294
32,ms_subclass_90,-6327.613231742603
33,ms_subclass_120,-22868.73622637756
34,ms_subclass_150,0.0
35,ms_subclass_160,-20638.65334778019
36,ms_subclass_180,-13575.89136424251
37,ms_subclass_190,-16262.81637870754
38,ms_zoning_C (all),-13246.920990977811
39,ms_zoning_FV,4892.649630809702
40,ms_zoning_I (all),0.0
41,ms_zoning_RH,14184.29980577423
42,ms_zoning_RL,-152.59533566359076
43,ms_zoning_RM,-5677.433109930039
44,street_Pave,10457.769293820684
45,utilities_NoSeWa,0.0
46,utilities_NoSewr,0.0
47,lot_config_CulDSac,10716.463657675684
48,lot_config_FR2,636.4244579680607
49,lot_config_FR3,-11517.26132069098
50,lot_config_Inside,144.4555414236511
51,neighborhood_Blueste,3519.859131506563
52,neighborhood_BrDale,9468.976752833323
53,neighborhood_BrkSide,-11379.510380122007
54,neighborhood_ClearCr,-2272.860710413479
55,neighborhood_CollgCr,-12979.149096115143
56,neighborhood_Crawfor,6726.848762069914
57,neighborhood_Edwards,-20025.61004834405
58,neighborhood_Gilbert,-10247.786615452327
59,neighborhood_Greens,8262.534249267612
60,neighborhood_GrnHill,78370.5112517352
61,neighborhood_IDOTRR,-16287.28390965892
62,neighborhood_Landmrk,923.820396937646
63,neighborhood_MeadowV,-4172.29887533753
64,neighborhood_Mitchel,-8933.776625400187
65,neighborhood_NAmes,-15184.417138360099
66,neighborhood_NPkVill,5402.073512665219
67,neighborhood_NWAmes,-17609.253236768647
68,neighborhood_NoRidge,25097.744486754098
69,neighborhood_NridgHt,37267.637367554256
70,neighborhood_OldTown,-16054.469175883887
71,neighborhood_SWISU,-17469.54469383398
72,neighborhood_Sawyer,-8825.469591530606
73,neighborhood_SawyerW,-13338.142231484546
74,neighborhood_Somerst,-210.70790770725006
75,neighborhood_StoneBr,52983.2804661935
76,neighborhood_Timber,-2694.7352156764127
77,neighborhood_Veenker,4369.752030543914
78,condition_1_Feedr,1796.4681112195346
79,condition_1_Norm,10477.11393415177
80,condition_1_PosA,13976.812173570002
81,condition_1_PosN,28129.60512484799
82,condition_1_RRAe,-8138.7420939772455
83,condition_1_RRAn,1797.7220516159198
84,condition_1_RRNe,18511.341598239924
85,condition_1_RRNn,-11625.280481803662
86,condition_2_Feedr,4280.6825817562185
87,condition_2_Norm,-6674.297007771196
88,condition_2_PosA,21028.660345662996
89,condition_2_PosN,-2796.7315843399915
90,condition_2_RRAe,0.0
91,condition_2_RRAn,0.0
92,condition_2_RRNn,5970.646665432846
93,bldg_type_2fmCon,9494.32642090106
94,bldg_type_Duplex,-6327.613231742494
95,bldg_type_Twnhs,-20534.991104819608
96,bldg_type_TwnhsE,-12728.696776394987
97,house_style_1.5Unf,7641.761237041115
98,house_style_1Story,8474.70934146537
99,house_style_2.5Fin,-7358.713978647805
100,house_style_2.5Unf,-2657.40302318408
101,house_style_2Story,-3731.8426532515023
102,house_style_SFoyer,-1827.6933720426669
103,house_style_SLvl,-699.8610094801267
104,roof_style_Gable,-1048.2875851207853
105,roof_style_Gambrel,-11461.437970323088
106,roof_style_Hip,4206.290274778787
107,roof_style_Mansard,15608.046559579658
108,roof_style_Shed,0.0
109,roof_matl_CompShg,81714.27780023437
110,roof_matl_Membran,41688.39432937268
111,roof_matl_Tar&Grv,77763.45049053499
112,roof_matl_WdShake,39912.04534737344
113,roof_matl_WdShngl,23450.999315035748
114,exterior_1st_AsphShn,0.0
115,exterior_1st_BrkComm,-3866.026356799733
116,exterior_1st_BrkFace,21299.171849733124
117,exterior_1st_CBlock,0.0
118,exterior_1st_CemntBd,-231.52873120017532
119,exterior_1st_HdBoard,-1449.6752738583027
120,exterior_1st_ImStucc,-1962.8356934186622
121,exterior_1st_MetalSd,-753.4442180921884
122,exterior_1st_Plywood,1280.0498378824273
123,exterior_1st_Stone,0.0
124,exterior_1st_Stucco,-11464.189875472568
125,exterior_1st_VinylSd,-4689.868203357979
126,exterior_1st_Wd Sdng,-2310.446020568065
127,exterior_1st_WdShing,5871.452580030296
128,exterior_2nd_AsphShn,-6899.12475664593
129,exterior_2nd_Brk Cmn,10024.33816285383
130,exterior_2nd_BrkFace,-689.5416892843052
131,exterior_2nd_CBlock,12286.3121697279
132,exterior_2nd_CmentBd,15577.794518759776
133,exterior_2nd_HdBoard,1485.3635626111864
134,exterior_2nd_ImStucc,-7408.155701173118
135,exterior_2nd_MetalSd,10281.376615046938
136,exterior_2nd_Plywood,3581.287900642654
137,exterior_2nd_Stone,8191.8988450531215
138,exterior_2nd_Stucco,-5904.575034943817
139,exterior_2nd_VinylSd,10886.63435630841
140,exterior_2nd_Wd Sdng,4312.990464672524
141,exterior_2nd_Wd Shng,-3891.635803433749
142,foundation_CBlock,3366.206921584037
143,foundation_PConc,2938.2789226582036
144,foundation_Slab,9790.607869308531
145,foundation_Stone,11222.86035902748
146,foundation_Wood,3970.05016289156
147,bsmtfin_type_2_BLQ,-9163.864389525173
148,bsmtfin_type_2_GLQ,12974.996164289378
149,bsmtfin_type_2_LwQ,-8329.617887860679
150,bsmtfin_type_2_Rec,-10680.550420340065
151,bsmtfin_type_2_Unf,-4202.051493405161
152,heating_GasW,-3239.726940339271
153,heating_Grav,-8229.860608248484
154,heating_OthW,-16817.394214362856
155,heating_Wall,220.88152956426387
156,electrical_FuseF,-2424.6162523270787
157,electrical_FuseP,272.45010729576825
158,electrical_Mix,-3629.183563112955
159,electrical_SBrkr,-2308.496184630077
160,garage_type_Attchd,7760.762924131061
161,garage_type_Basment,6943.202933028321
162,garage_type_BuiltIn,10829.948846201913
163,garage_type_CarPort,2624.386585921864
164,garage_type_Detchd,8334.418923222534
165,sale_type_CWD,9037.482238421835
166,sale_type_Con,19747.159241869653
167,sale_type_ConLD,11477.86795858385
168,sale_type_ConLI,7449.425692724268
169,sale_type_ConLw,-1501.9849483491657
170,sale_type_New,15285.804937044182
171,sale_type_Oth,3191.5761407459277
172,sale_type_WD ,4643.416841913597
173,lot_frontage,-1803.9184274655772
174,lot_area,1627.91043309239
175,mas_vnr_area,4877.066301384618
176,bsmtfin_sf_1,2170.693843312264
177,bsmtfin_sf_2,503.9443571427586
178,bsmt_unf_sf,-1863.1626356256183
179,total_bsmt_sf,628.4516197361894
180,1st_flr_sf,8274.367413552693
181,2nd_flr_sf,5928.884944253457
182,low_qual_fin_sf,-310.58119928846065
183,gr_liv_area,11678.91062009851
184,bsmt_full_bath,2997.674779502993
185,bsmt_half_bath,-689.2973677342029
186,full_bath,3369.638191879882
187,half_bath,2999.4244849109273
188,bedroom_abvgr,-1172.8264986544827
189,kitchen_abvgr,-1514.2022355804445
190,totrms_abvgrd,4730.172273847499
191,fireplaces,719.3599707657605
192,garage_yr_blt,-454.25131243103743
193,garage_cars,5118.118752678787
194,garage_area,2503.69255075341
195,wood_deck_sf,1093.0236608918847
196,open_porch_sf,919.094384396272
197,enclosed_porch,924.7343935831475
198,3ssn_porch,392.315520004945
199,screen_porch,4290.945582204753
200,misc_val,-8122.1801143204675
201,intercept,-292690.2313722848
