,column_name,pandas_dtype,is_unique,variable_type,is_target,ord_transform_map,impute_mean,impute_median,impute_mode
0,id,int64,1,Nominal,0,,0,0,0
1,pid,int64,1,Nominal,0,,0,0,0
2,ms_subclass,int64,0,Nominal,0,,0,0,0
3,ms_zoning,object,0,Nominal,0,,0,0,0
4,lot_frontage,float64,0,Numerical,0,,0,1,0
5,lot_area,int64,0,Numerical,0,,0,0,0
6,street,object,0,Nominal,0,,0,0,0
8,lot_shape,object,0,Ordinal,0,,0,0,0
9,land_contour,object,0,Ordinal,0,,0,0,0
10,utilities,object,0,Nominal,0,,0,0,0
11,lot_config,object,0,Nominal,0,,0,0,0
12,land_slope,object,0,Ordinal,0,,0,0,0
13,neighborhood,object,0,Nominal,0,,0,0,0
14,condition_1,object,0,Nominal,0,,0,0,0
15,condition_2,object,0,Nominal,0,,0,0,0
16,bldg_type,object,0,Nominal,0,,0,0,0
17,house_style,object,0,Nominal,0,,0,0,0
18,overall_qual,int64,0,Ordinal,0,,0,0,0
19,overall_cond,int64,0,Ordinal,0,,0,0,0
20,year_built,int64,0,Ordinal,0,,0,0,0
21,year_remod/add,int64,0,Ordinal,0,,0,0,0
22,roof_style,object,0,Nominal,0,,0,0,0
23,roof_matl,object,0,Nominal,0,,0,0,0
24,exterior_1st,object,0,Nominal,0,,0,0,0
25,exterior_2nd,object,0,Nominal,0,,0,0,0
27,mas_vnr_area,float64,0,Numerical,0,,0,1,0
28,exter_qual,object,0,Ordinal,0,,0,0,0
29,exter_cond,object,0,Ordinal,0,,0,0,0
30,foundation,object,0,Nominal,0,,0,0,0
31,bsmt_qual,object,0,Ordinal,0,"{'Ex': 5, 'Gd': 4, 'TA': 3, 'Fa': 2, 'Po': 1, nan: 0}",0,0,0
32,bsmt_cond,object,0,Ordinal,0,"{'Ex': 5, 'Gd': 4, 'TA': 3, 'Fa': 2, 'Po': 1, nan: 0}",0,0,0
33,bsmt_exposure,object,0,Ordinal,0,"{'Gd': 3, 'Av': 2, 'Mn': 1, 'No': 0, nan: 0}",0,0,0
34,bsmtfin_type_1,object,0,Ordinal,0,"{'GLQ': 6, 'ALQ': 5, 'BLQ': 4, 'Rec': 3, 'LwQ': 2, 'Unf': 1, nan: 0}",0,0,0
35,bsmtfin_sf_1,float64,0,Numerical,0,,0,1,0
36,bsmtfin_type_2,object,0,Nominal,0,,0,0,1
37,bsmtfin_sf_2,float64,0,Numerical,0,,0,1,0
38,bsmt_unf_sf,float64,0,Numerical,0,,0,1,0
39,total_bsmt_sf,float64,0,Numerical,0,,0,1,0
40,heating,object,0,Nominal,0,,0,0,0
41,heating_qc,object,0,Ordinal,0,,0,0,0
42,central_air,object,0,Binary,0,,0,0,0
43,electrical,object,0,Nominal,0,,0,0,0
44,1st_flr_sf,int64,0,Numerical,0,,0,0,0
45,2nd_flr_sf,int64,0,Numerical,0,,0,0,0
46,low_qual_fin_sf,int64,0,Numerical,0,,0,0,0
47,gr_liv_area,int64,0,Numerical,0,,0,0,0
48,bsmt_full_bath,float64,0,Numerical,0,,0,1,0
49,bsmt_half_bath,float64,0,Numerical,0,,0,1,0
50,full_bath,int64,0,Numerical,0,,0,0,0
51,half_bath,int64,0,Numerical,0,,0,0,0
52,bedroom_abvgr,int64,0,Numerical,0,,0,0,0
53,kitchen_abvgr,int64,0,Numerical,0,,0,0,0
54,kitchen_qual,object,0,Ordinal,0,,0,0,0
55,totrms_abvgrd,int64,0,Numerical,0,,0,0,0
56,functional,object,0,Ordinal,0,,0,0,0
57,fireplaces,int64,0,Numerical,0,,0,0,0
58,fireplace_qu,object,0,Ordinal,0,"{'Ex': 5, 'Gd': 4, 'TA': 3, 'Fa': 2, 'Po': 1, nan: 0}",0,0,0
59,garage_type,object,0,Nominal,0,,0,0,1
60,garage_yr_blt,float64,0,Numerical,0,,0,1,0
61,garage_finish,object,0,Ordinal,0,"{'Fin': 3, 'RFn': 2, 'Unf': 1, nan: 0}",0,0,0
62,garage_cars,float64,0,Numerical,0,,0,1,0
63,garage_area,float64,0,Numerical,0,,1,0,0
65,garage_cond,object,0,Ordinal,0,"{'Ex': 5, 'Gd': 4, 'TA': 3, 'Fa': 2, 'Po': 1, nan: 0}",0,0,0
66,paved_drive,object,0,Ordinal,0,,0,0,0
67,wood_deck_sf,int64,0,Numerical,0,,0,0,0
68,open_porch_sf,int64,0,Numerical,0,,0,0,0
69,enclosed_porch,int64,0,Numerical,0,,0,0,0
70,3ssn_porch,int64,0,Numerical,0,,0,0,0
71,screen_porch,int64,0,Numerical,0,,0,0,0
76,misc_val,int64,0,Numerical,0,,0,0,0
77,mo_sold,int64,0,Ordinal,0,,0,0,0
78,yr_sold,int64,0,Ordinal,0,,0,0,0
79,sale_type,object,0,Nominal,0,,0,0,0
80,saleprice,int64,0,Target,1,,0,0,0
